Designator,Mid X,Mid Y,Layer,Rotation
C1,11.43,18.41,Top,90.0
C2,11.43,14.61,Top,270.0
C3,19.05,24.77,Top,180.0
C4,28.58,25.40,Top,0.0
C7, 2.54,15.24,Top,270.0
C8,13.34,29.85,Top,270.0
D1, 6.99,16.51,Top,0.0
D2,79.38,79.38,Top,270.0
D3,71.12,37.47,Top,0.0
JP1,80.01,45.72,Top,0.0
JP2,80.01,43.18,Top,0.0
Q1,63.50,31.75,Top,0.0
R1,17.78, 6.99,Top,180.0
R2,24.13,36.20,Top,270.0
R3,26.04,36.20,Top,270.0
R4,27.94,36.20,Top,270.0
R5,38.73,11.43,Top,270.0
R6,40.64,11.43,Top,270.0
R7,15.24,73.66,Top,180.0
R8,15.24,71.76,Top,180.0
R9,35.56,17.78,Top,90.0
R10,48.26,17.78,Top,270.0
R11,43.18,17.78,Top,270.0
R12,45.72,17.78,Top,270.0
R13,40.64,17.78,Top,270.0
R14,30.48,17.78,Top,270.0
R15,33.02,17.78,Top,270.0
R16,50.80,17.78,Top,270.0
R17,43.18,13.97,Top,90.0
R18,76.84,73.03,Top,180.0
R19,80.01,73.03,Top,180.0
R20,83.82,16.51,Top,0.0
R21,57.15,16.51,Top,180.0
R22,80.01,76.20,Top,180.0
R23,83.82,11.43,Top,0.0
R24,63.50,28.58,Top,180.0
SG1,71.12,29.21,Top,270.0
U1,25.40,30.48,Top,180.0
