Qty,Comment,Footprint,Designator,Description,MF,MPN,OC_FARNELL,OC_NEWARK,Value,Device
2,100n,0805_C,"C1, C2",Capacitor,,,,,,CAP0805
2,10u,1206_C,"C3, C4",Capacitor Polarized,,,,,,CAP_POL1206-KIT
1,,0603,LED1,LEDs,,,,,,LED0603
1,,TSSOP24,U1,TCA9548A I2C Multiplexer,,,,,,TCA9548A
1,1K,0805,R4,Resistor,,,,,1K,RESISTOR0805-RES
10,2N7002D,SOT23-3,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10",,,,,,2N7002D,MOSFET-NCHANNELSMD
1,3V6,SOD-323,D2,Zener Diode,,,,,3V6,DIODE-ZENERSOD
1,470R,805,R13,Resistor,,,,,470R,RESISTOR0805-RES
11,4K7,805,"R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R12",Resistor,,,,,4K7,RESISTOR0805-RES
1,LM1117-3V3,SOT223,IC1,Voltage Regulator LM1117,,,,,LM1117-3V3,V_REG_LM1117SOT223
1,MCP23017SS,SSOP28,U2,http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf,MICROCHIP,MCP23017-E/SS,1467674,31K2960,MCP23017SS,MCP23017SS
1,SCHOTTKY,SOD-323,D1,,,,,,SCHOTTKY,DIODE-SCHOTTKYSOD
