"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"CAP0805";"0805";"C1, C2";"Capacitor";"";"";"";"";
"2";"";"CAP_POL1206-KIT";"EIA3216-KIT";"C3, C4";"Capacitor Polarized";"";"";"";"";
"1";"";"LED0603";"LED-0603";"LED1";"LEDs";"";"";"";"";
"1";"";"M081X08";"1X08";"JP1";"Header 8";"";"";"";"";
"1";"";"TCA9548A";"TSSOP24";"U1";"TCA9548A I2C Multiplexer";"";"";"";"";
"1";"1K";"RESISTOR0805-RES";"0805";"R4";"Resistor";"";"";"";"";
"10";"2N7002D";"MOSFET-NCHANNELSMD";"SOT23-3";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10";"";"";"";"";"";
"1";"3V6";"DIODE-ZENERSOD";"SOD-323";"D2";"Zener Diode";"";"";"";"";
"1";"470R";"RESISTOR0805-RES";"0805";"R13";"Resistor";"";"";"";"";
"11";"4K7";"RESISTOR0805-RES";"0805";"R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R12";"Resistor";"";"";"";"";
"1";"LM1117-3V3";"V_REG_LM1117SOT223";"SOT223";"IC1";"Voltage Regulator LM1117";"";"";"";"";
"1";"MCP23017SS";"MCP23017SS";"SSOP28";"U2";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"MICROCHIP";"MCP23017-E/SS";"1467674";"31K2960";
"8";"RJ45-8-2-CONEC-1";"RJ45-8-2-CONEC-1";"CONEC-33TS3004ST-88001";"X1, X2, X3, X4, X5, X6, X7, X8";"";"";"";"";"";
"1";"SCHOTTKY";"DIODE-SCHOTTKYSOD";"SOD-323";"D1";"";"";"";"";"";
"4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"JP2, JP3, JP4, JP5";"Stand Off";"";"";"";"";
"8";"TP-GROUP-X8-2X04";"TP-GROUP-X8-2X04";"2X4";"X9, X10, X11, X12, X13, X14, X15, X16";"";"";"";"";"";
