Designator,Mid X,Mid Y,Layer,Rotation,Description,Part,,
C1,52.4,40.5,Top,180,C0805,C360619,180,0
C2,44.2,62.9,Top,270,C0805,C360619,270,0
C3,56,19,Top,270,C1206,C127946,270,0
C4,44,19,Top,90,C1206,C127946,90,0
D1,37.5,10.5,Top,180,SOD-323,C64886,180,0
D2,54.8,10,Top,270,SOD-323,C401091,270,0
IC1,50,18,Top,-90,SOT-223,C347222,0,-90
LED1,50,26,Top,0,CHIP_LED0603,C205443,90,-90
Q1,43,7.95,Top,90,SOT-23-3,C12779,180,-90
Q2,46.5,7.95,Top,90,SOT-23-3,C12779,180,-90
Q3,32.45,82.5,Top,0,SOT-23-3,C12779,90,-90
Q4,27.95,61.64,Top,0,SOT-23-3,C12779,90,-90
Q5,29.45,39.64,Top,0,SOT-23-3,C12779,90,-90
Q6,27.45,17.64,Top,0,SOT-23-3,C12779,90,-90
Q7,72.05,18.5,Top,180,SOT-23-3,C12779,270,-90
Q8,74.55,38.5,Top,180,SOT-23-3,C12779,270,-90
Q9,71.05,61.5,Top,180,SOT-23-3,C12779,270,-90
Q10,70.25,82.37,Top,180,SOT-23-3,C12779,270,-90
R1,43,11,Top,0,R0805,C26022,0,0
R2,46.5,11,Top,0,R0805,C26022,0,0
R3,37.5,8.5,Top,0,R0805,C26022,0,0
R4,53,26,Top,0,R0805,C25623,0,0
R5,30.5,79.5,Top,270,R0805,C26022,270,0
R6,26.2,68,Top,180,R0805,C26022,180,0
R7,27.5,46,Top,180,R0805,C26022,180,0
R8,25.5,24,Top,180,R0805,C26022,180,0
R9,74,23,Top,0,R0805,C26022,0,0
R10,77.5,45,Top,0,R0805,C26022,0,0
R11,73,65.5,Top,0,R0805,C26022,0,0
R12,71.2,87,Top,90,R0805,C26022,90,0
R13,51.26,8,Top,270,R0805,C119076,270,0
U1,50,35,Top,270,TSSOP-24,C130026,270,0
